id,user,tweets,date,location,favorites,retweets
1263263971869483009,bayaruna,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-21 00:22:55,Mongolia,0,109
1263262794553503744,erdene457,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-21 00:18:15,Улаанбаатар,0,109
1263258395286462465,tsbat_IT,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-21 00:00:46,"Ulaanbaatar, Mongolia",0,109
1263257955912134657,7505Agar,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 23:59:01,Mongolia,0,109
1263257008905449473,eegii0607,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 23:55:15,"Sydney, New South Wales",0,109
1263248865777512449,yunaa2018,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 23:22:54,Mongolia,0,109
1263248807300485123,hakunamatata_p,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 23:22:40,монгол,0,109
1263248748097925120,0Baagii,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 23:22:26,Mongolia,0,109
1263248080301723648,vgnsr410,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 23:19:47,Mongolia,0,109
1263244883478761472,Bayartsogt14,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 23:07:04,Mongolia,0,109
1263244493219786752,gangaad,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 23:05:31,"Ulaanbaatar,Mongolia",0,109
1263243589095616512,Ainotus,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 23:01:56,"Ulaanbaatar, Mongolia",0,109
1263243306886193152,Uugi78,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 23:00:48,Arlington VA,0,109
1263242922293473280,Ironman_mn,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 22:59:17,UB,0,109
1263241158878093313,BayarkhuuMut,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 22:52:16,"Seoul, Korea ",0,109
1263240952178565121,Enhbold60838730,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 22:51:27,Mongolia,0,109
1263239440723439616,asanu11,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 22:45:27,日本 千葉県,0,109
1263238210454351872,enkh777777,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 22:40:33,"ulaanbaatar, mongolia",0,109
1263237592494911489,DavaaShoo10,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 22:38:06,,0,109
1263237221676486656,zev_dul,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 22:36:38,Ulaanbaatar,0,109
1263229317309362176,Bodhi4656,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 22:05:13,Улаанбаатар Монгол улс.,0,109
1263224904490430464,Otgonchimeg7069,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 21:47:41,Дархан хот,0,109
1263212885053894657,CFCMongolia,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 20:59:55,Ulaanbaatar Mongolia,0,109
1263208030989987840,61_zul,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 20:40:38,"seoul, korea",0,109
1263186406173585414,ganbaatar_prv,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 19:14:42,Mongolia,0,109
1263180179951636480,Gerleeke,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 18:49:58,mongolia,0,109
