,tweets,retweets,maker
56,"RT @batengineer: Зи өөрийгөө ""Ипотекийн Эцэг"" хэмээжээ. Яг нарийн яривал ипотекийн санаа надаас анх гарсан бдын. Би 2005 онд How Corruption…",22,batengineer
426,RT @batengineer: Нам харгалзахгүйгээр царайлаг бүсгүйчүүдээ олноор нь дэмжиж гаргацгаая залуусаа. Ядаж л УИХ чуулганы ирц эрс сайжирна гэж…,21,batengineer
218,"RT @bolodm: Бядны зуслангийн усны сав.

Бас уул уурхайн компаний химийн хортой бодис оруулж ирсэн цэнхэр сав гэр хороололд усны сав гээд за…",20,bolodm
319,RT @AltaiKh: Оны 2 дугаар хагасаас хөрөнгийн зах маань нилээн идэвхжихнэ дээ. Нилээд хэдэн шинэ бүтээгдэхүүн гарах төлөвтэй. Гол нь ₮ ханш…,19,AltaiKh
397,"RT @Naidalaa: Идэрээ болон дүү нар залуус маань ийм бодол хандлагатай байвал, ирээдүйгээ өөрсдөө сонговол Монгол нүд ирмэх зуур л энэ хар н…",19,Naidalaa
17,RT @Bolort: Мөнхцэцэг нэр дэвшигчийн буруу гэж юу бхав... Харин намын нөхдөө ингэж улалзуулж буй хүмүүс өөрсдөө яагаад ичдэггүй вэ? #Нүүдэл…,17,Bolort
393,"RT @Tanhai_Emee: МАН одоо болтол албан ёсоор нэрээ зарладаггүй ээ! Сураг сонсохнээ Дорнод, Сонгинохайрхан дээр будилж байгаа сурагтай. Даам…",17,Tanhai_Emee
389,RT @baasankhuu_o: МАН-ын одоогийн засаг хар мөртэй гэж хэлтэл  чи ямар мөртэй юм гэх.Гэтэл хууль сахиулахын их сургуулийн 2 багш өнгөрсөн 7…,16,baasankhuu_o
358,"RT @Araguud: #UBCab with #PriusCenter 

ЮБИКАБ ХХК, Приус центр хамтран Улаанбаатар хотын бүх халтуурчдыг #UBCab аппликейшнд нэгтгэх их аян…",15,Araguud
489,"RT @DNN_MN: Тагнуулын хурандаа Ш.Амгалангийн эхнэр С.ОЮУНГЭРЭЛ: Манай гэр бүлийг устгах даалгавартай байсан гэж хардаж байна
https://t.co/N…",15,DNN_MN
316,RT @Bolort: Өнөөдөр бид намуудын мөрийн хөтөлбөрийг дэлгээд бодлогын мэтгэлцээнүүд хийж байх ёстой байтал улстөрийн намын төлөвшил л яриад…,15,Bolort
121,"RT @enkhbat: НӨАТ-ийг хяналтын тогтолцоо гэж ярьдаг. Тийм, гэхдээ энэ бол зөвхөн төр бусдыг хянах бус, мөн иргэд татвараараа дамжуулж төрий…",14,enkhbat
216,RT @ulziibayar_b: Соронз дээр магтуулж гардаг л юм бна мөнгө төлөхгүйгээр. Үнэн л бичиж дээ 😜😂 Сая найз эгч маань зургийг маань явуулаад цо…,14,ulziibayar_b
478,RT @D_Jaraa: Б.Ринчин гуайг Цэдэнбалын коммунист үзэл суртал тамлаж бсныг буурал эрдэмтний  хойч үе нь мартаж  бгаа нь харамсалтай!? Коммун…,14,D_Jaraa
23,"RT @sudlaachganaa: Сүйтгээд л байдаг, сүйтгээд л байдаг, үхэж өгдөггүй терминатор шиг болчихсон баагийнууд УИХ-д олон дэвшжээ...",14,sudlaachganaa
74,"RT @ForumOS: ""Сонгуульдаа идэвхтэй оролцож, сонгох эрхээ эдлэх хэрэгтэй"" https://t.co/MQ6jyR4U2d",12,ForumOS
67,RT @jjngm: Намайг юу олсоныг хар даа 😇 Жамьянмядаг. Зуны цэцэгсийн түрүүч нь. Ганцханыг л оллоо. https://t.co/J80kCdizUL,12,jjngm
220,RT @odbayare: Нөгөө төвийн хэдэн уулзварууд дээр зүүн эргүүлдэггүй юмаа дахиад л эхэлчихэж. Буухаасаа өмнө нэг хорлочихъё гэж боддым байх д…,12,odbayare
383,RT @chonosb: Хэдэн асуулт асуутал сүүлээ хавчаад зугтаад алга боллоо. Энэ нөхөрт Жанжин шугам гэж байхгүй нь тодорхой @Sukhbaatar_J . Сонго…,11,chonosb
350,RT @delger_puujee: Женко л ерөнхийлөгчийн засаглалд шилжиж парламентын засаглалыг үгүй хийх гэж зүтгээд байгаа шдэ. Түүний эсрэг дуугарч ба…,11,delger_puujee
