,username,following,followers,totaltweets
501,obatsaikhan1,584,376,861
502,AriunmaaB,261,369,1450
503,YYP_Tso,569,366,428
504,namnandorj5,466,366,1171
505,Dodonbainoo,894,363,171
506,tuguldur,589,362,3377
507,Btuya7,729,359,541
508,hoso_bayar,546,355,2353
509,heegii44,869,348,613
510,TOM22839647,826,347,190
511,Ariunbold__A,542,339,1400
512,enkhbatbatmunk2,665,339,1504
513,pocussev,1489,332,1445
514,SukhbaatarMyag1,285,325,17714
515,BatuushBatU,863,323,73
516,GShunhat,225,317,3759
517,Nanzaddorj14,1047,309,1082
518,zuugi_d,669,306,4028
519,handaa42002,295,301,1326
520,UuganbayarTtm,534,298,3939
521,Amaraak2,358,294,1920
522,queenly_1227,446,290,1728
523,BayanzulB,481,288,2168
524,chaltansukh,873,285,432
525,khulanbattomor,521,270,81
526,tsatsral55,405,269,740
527,batnasan14,613,267,6358
528,bolorchuluun91,555,266,853
529,thongoro0211,397,265,219
530,SainiigDagiya,265,249,3240
531,Ariun_D,433,247,3589
532,javhlan_tuvshin,558,243,129
533,daulyetjan,568,225,184
534,khangal79,395,224,71
535,Tumenja45798195,500,220,1211
536,galgolomt,536,215,4385
537,Otgondorj,444,210,274
538,enkh1206,762,207,659
539,delgermurun_,375,203,24
540,tuuchii1,308,199,700
541,tumee88,181,197,756
542,Tuvshin0111,242,195,1412
543,Ardourb,330,189,569
544,baatarenkh,158,186,513
545,AnchinJuly,332,186,443
546,molomtoin,461,186,4984
547,bsglnb,266,181,6042
548,erEav8aZ9EKsPs7,405,181,104
549,g_ochiro,170,179,791
550,GanzorigMamba,185,170,362
551,Galbingaaa,133,167,363
552,p63tlEqmZ748XMP,299,159,62
553,hasar_2002,167,159,489
554,Tuyago2,294,153,562
555,govihangai,193,151,321
556,BenBodza,157,140,5194
557,Batbolorjargal,251,132,451
558,ezo88651,89,118,3281
559,pujee_b,159,116,38
560,Bayarkhuuerden1,196,113,523
561,oyund1122yahoo1,306,108,83
562,Zacc02020,228,106,20
563,nrngrlb,572,97,68
564,doogidoogi8,183,94,751
565,ChimSchim71,464,88,945
566,N_Enkhtsetseg,162,87,75
567,QEtd7oDP6VoOmyi,140,85,64
568,Enkhbayar2017,396,84,3219
569,Bambuu17924757,134,74,377
570,Otgon60972677,287,65,9
571,Batka_ps,72,57,474
572,SOSOSO23899831,90,52,314
573,Langtsedev,151,50,1254
574,mongolamar,218,48,188
575,AchitBaigalmaa,71,48,89
576,N4VEXolCetJhpZz,87,40,24
577,LundaaBaasanjav,109,39,39
578,GanzorigGanzoo1,128,36,35
579,DornodK,83,29,2983
580,khash_l,34,24,373
581,Farida59483183,201,18,18
582,BatbuyanGanbold,59,11,15
583,bultreech,72,2,82620
584,ganbold55257502,6,1,15
