user,tweets,favorites
Aldar51,"Хүүк ялсан ч эс ялсан ч ковидын дараах эдийн засаг элгээрээ хэвтэнэ тараах мөнгө бхгүй, дэлгүүр хоршоо хоосон, хил гааль нээхгүй 90 оны зүгрүү нилээн дөхөх бх, сонгууль өнгөртөл аргацааж бгаа бх",18
davaajav_8,@ganboldtordai @m_narantuya Хүүк Анандбузарыг намаасаа хасуулна гэчээд араас нь наад мэдрэл хүүхнүүдийг Нара руу явуулцан.Коммунистууд ингэж ажилладаг,18
gmrbat,"Энхбатыг хүмүүсийн хэлснээр их муу хүн гэдэгт итгэжийнаа. Бүүр ерөнхийлөгч байхад тохиромжгүй этгээд мөн байх. Үүнээс ч муу хүн байж магадгүй. Гэхдээ Хүүк, Эрдэнэ 2-той дүйцэж доошоо ортлоо 1000 жил.",17
Nomik_e,Поп зураг авалт хийх гэж байгаад үхлээшд ХҮҮК чинь😂😂😂 https://t.co/azT2IQ754X,16
zakZakirov,@Batka_ Хүүк гарвал хадам аавд ашигтай юү тээ😁😁,15
eegiishka,1985 онд намайг төрж бхад Хүүк цэргийн сургуульд шалгалт өгч байж 😜📺 25ТВ https://t.co/YIQ73Y2EZY,15
Otgochuluu,"@batdorj911 @tvdaria @serdenemn @m_zorigt @erintulgatmn МАН-ын стратеги, тактик нь зурагдсан байна билээ хө. Ирц бага байлгана. Хатуу хайрцаглагдсан манкуртууд дээр нь хүнсний талоны тоон дээрээ найдаж бгаан бн билээ. Хүүк бол лидер биш! Сталинист маягаар ялахын тулд бүх махинацыг хийнэ. Ноёны бөх шиг Төрийг ашиглаж ялах гэж улайрна!",15
papaav_v8,Ямар ч зураг харсан Хүүк ах харагдах боллоо шүү. Би солиорчуу🤷🏻😂,14
Mongol_huu,"Би Та нарт Хүүк бол Женко гэдгийг, худлаа муудалцаж жүжээд байна гэдгийг хэлээд л байгаа. Нотолгоо нь цагийн шалгуураар тодорсоор. Хуурнадаа Хүүк⁉️ 😱😉 https://t.co/Y44S1izWUb",13
GreatSmile14,@Unurtsetsegn Хүүк еөк болохын тулд 3 хүнээ хөөж зөв харагдахыг хичээж байгаа байх. Нэг намын тогтолцоотой болоход 3 хүн юу юм үхсэн баас.,13
enheene,"Харин ч манай Хүүк агаа гоё күүл юм бишүү яачаад бган🤔
Морь унана, мото барина, усанд сэлнэ, гоё биетэй, гоё зантай...
Ерөнхийлөгч бхад харин ч сайхан тохирно доо😝😝😝",13
uzeg1,"Хүүк Анандбузарыг намаасаа хөөцөн, одоо Занданшатар ИХ хурлаас хөөж чадахуу?",13
dmuuguu,@Batka_ Эрдэнэ хүүк 2-оос алд илүү,12
Tsa_tsaa,"Энэ хүүк чинь зүгээр Жонхуу жонхуу.
Спорт хийлээ
Ээжээн санаж уйллаа
Төмөр зам барилаа
Самбар дээр ярилаа. 😆😆😆",12
bo_ulzii,"-Уур биеийг зовооно
Хүүк морийг зовооно 🤣😅",12
ariunq,"Хэрвээ, хэрвээсээд бх юм бхгүй
Хүүк чинь Амарсайхан, Оюунчимэг, Ундармаа, Гарамжав нартайгаа бсаар л бх юм бол хзэ ч сонгогдохгүй
Өмөөрч бга жиргээчид нь өмөөрөх гэж жхан үйлээ үзэх бх кэцүүдээ кэцүү😂",12
ariuka00947392,@110Orgio @Uyanga_ts Ах минь 5 толгой- Зүүнбаян төмөр замын бүтээн байгуулалтанд оролцоод ажлаа 100% хүлээлгэн өгөөд 9 сар өнгөрчээ. Гэтэл одоо болтол мөнгийг нь өгөөгүй. 20иод жил хөдөлмөрлөж босгосон компани нь хүнд байдалд байна. Хүүк Хүрэлбаатар 2 гацааж ААН-дийг хоохироож байна!!!!!!,12
nyamkaa,"@Batka_ МАН мэдээж хүсэхгүй. Тэхээр Хүүк ялна, тиймээс бусад нь нэмэргүй шүү гэсэн Энхбатыг сонгогчдын хүчийг бууруулах такчик уу?",12
papaav_v8,"Зариг Өнөрөө: Хөдөө аялалд гарахдаа хамгийн түрүүнд юугаа авч явах вэ?
Дандаг:1удаагийн аяга,аягатай гоймон
Хүүк: зурагчин,буу,танк,бугуйл
Дрон: нойлын цаас,нойтон салфеток
Батлага: тогоо,их мах
Папаав: газрын зураг,майхан,мешок,бэлэн мөнгө, ном, 
Оюук: алсын #хараа/томыг нь/ kkk",11
lbattuvshin,"Энэ хүүхэн энэ нээрээ фотошоп байна шүү😂😂😂
Мөрний булчин толгойны хэмээг хараа 😂😂 тэнэг хүүк шүү. https://t.co/podX3x5IBy",11
MKorfball,@Tabigat2 @Uyanga_ts Энхбатдаа л өгнө Хүүк Эрдэнээ эднүүс болилдооо факинг шиттийз,11
ch_demberel,"Энхбат, Хүүк 2-ын дэмжигч нар нэг нэгийгээ элдвээр хэлээд үзээд байгаа бололтой. Ингэхэд С.Эрдэнэ гуайг дэмжигчид хаачсан юм? Хүүгээс нь өөр хүн байгаа юм уу? 😭",11
strategistdegy,@Uyanga_ts Яг хүүкийг гаргахгүй байя гэвэл бодит хувилбар бас шийдэл мөн үү гэвэл мөн. гэхдээ Хүүк луйвраар ч хамаагүй гарна. МАН-100 жилийн ой шүү дээ. Луйвраар хамгаалах арга техникээ л сайн боловсруулахгүй бол болохгүй. Ардчиллын үнэ цэнийг хэн хамгаална түүнийг нь дэмжинэ.,11
hariad_uyanga,"Өрсөлдөгчөө муухай харагдуулах гэж коммунист реторик ашиглаж нтр.. элит ч гэх шиг 😂

Хүүк нь пролетарь байх даа 😂",11
Nomik_e,"Сурагч: Ахаа сонгууль-н гэдэг чинь эр үгийг и /ы/ тавих юм уу? Эм үгийн и тавих юм уу?
Хүүк: Мэдэхгүй мэдэхгүй ахын дүү бодож байгаагаа л тавьчих😜😜😜 https://t.co/K9sweI6HFv",11
alphaMutu,Хүүк ямаа самнаж байгаа зурагаа хэзээ хийх бол. Надад бас байгаа. 😁,10
GanBatuhan,Хүүк хуурандаа Женкогийн даалгасан хэдэн ажлыг хийчээд өөрөө хийсэн мэт жүжиглэж байгаа нь инээдтэй харагддаг❗️❗️❗️,10
abaa_99,Хүүк Анандбазараар сор залах нь дээ,10
Dandag_5004,Хэдэн зурган дээр ажиллаад шаага байхы. Өөрийм бодоочээ. Аа тэр хүүкгүй зун нтр чинь явахгүй шүү. Коранагүй зун гэвэл заавал Хүүк холбогдоно. Тэрний засгийн газар вакцин дээр бол маш сайн ажилласан 😂,10
lbattuvshin,"Баянхошуунд айлд иртэл 
Цуйван гарч байна идэж болох уу?
Гялс хариу? #Хүүк_стайл https://t.co/oPEzT1REVg",10
